,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,new norfolk,40,AU,1567648667,46,-42.78,147.06,57.99,6.93
88,kruisfontein,100,ZA,1567648668,89,-34.0,24.73,53.2,6.6
89,mehamn,13,NO,1567648668,78,71.03,27.85,46.5,10.42
90,butembo,79,CD,1567648668,95,0.12,29.29,60.47,2.53
91,kapaa,40,US,1567648668,62,22.08,-159.32,89.6,16.11
92,carauari,85,BR,1567648668,70,-4.88,-66.9,78.47,1.43
93,katsuura,75,JP,1567648668,94,33.93,134.5,84.99,5.82
94,christchurch,100,NZ,1567648455,93,-43.53,172.64,52.0,13.87
95,sisimiut,100,GL,1567648669,88,66.94,-53.67,41.25,6.35
96,hambantota,75,LK,1567648669,100,6.12,81.12,77.0,4.7
97,sabang,100,PH,1567648669,74,13.8,121.11,87.01,1.99
98,teguise,0,ES,1567648669,83,29.06,-13.56,71.6,8.05
99,tari,100,NG,1567648670,84,12.41,4.49,76.22,11.07
100,yerbogachen,100,RU,1567648670,90,61.28,108.01,45.17,6.64
101,arraial do cabo,100,BR,1567648670,94,-22.97,-42.02,69.27,12.17
102,east london,100,ZA,1567648500,90,-33.02,27.91,55.21,7.87
103,fortuna,40,US,1567648456,93,40.6,-124.16,64.99,13.87
104,lorengau,100,PG,1567648671,84,-2.02,147.27,81.13,10.33
105,ostrovnoy,0,RU,1567648671,88,68.05,39.51,48.64,15.68
106,saku,75,JP,1567648671,73,36.21,138.45,86.0,4.7
107,komatipoort,73,MZ,1567648671,76,-25.43,31.96,66.0,3.15
108,zhuhai,0,CN,1567648671,43,40.71,112.04,69.8,2.24
109,te anau,44,NZ,1567648671,83,-45.41,167.72,44.94,1.92
110,eyl,30,SO,1567648672,71,7.98,49.82,75.36,30.0
111,clyde river,90,CA,1567648672,75,70.47,-68.59,41.0,6.93
112,barra,75,GM,1567648672,94,13.49,-16.54,78.8,3.36
113,alyangula,0,AU,1567648672,39,-13.85,136.42,84.2,12.75
114,luderitz,0,NA,1567648673,55,-26.65,15.16,62.6,17.22
115,bilibino,0,RU,1567648673,32,68.06,166.44,49.74,4.79
116,kyren,100,RU,1567648673,94,51.68,102.13,44.58,6.2
117,sfantu gheorghe,90,RO,1567648673,87,44.65,26.83,64.99,10.29
118,salina cruz,23,MX,1567648674,79,16.18,-95.2,77.64,3.96
119,carnarvon,100,ZA,1567648406,72,-30.97,22.13,49.02,17.76
120,bambanglipuro,15,ID,1567648674,79,-7.95,110.28,74.65,12.64
121,port alfred,100,ZA,1567648674,95,-33.59,26.89,57.0,4.0
122,ketchikan,20,US,1567648490,67,55.34,-131.65,62.6,11.41
123,padang,49,ID,1567648674,84,-0.92,100.36,80.7,16.82
124,pechenga,100,RU,1567648674,94,58.89,41.46,53.58,5.61
125,sao filipe,0,CV,1567648674,88,14.9,-24.5,78.76,11.92
126,bubaque,93,GW,1567648675,83,11.28,-15.83,79.93,18.79
127,paamiut,17,GL,1567648675,85,61.99,-49.67,42.29,9.17
128,provost,0,CA,1567648675,79,52.35,-110.26,61.51,6.33
129,saint george,0,GR,1567648675,59,39.45,22.34,66.2,0.89
130,lerwick,100,GB,1567648675,76,60.15,-1.15,48.2,24.16
131,sawakin,74,SD,1567648676,44,19.1,37.33,82.47,12.95
132,masumbwe,87,TZ,1567648676,47,-3.65,32.16,66.79,4.16
133,baglan,90,GB,1567648676,81,51.62,-3.81,57.0,10.29
134,empalme,20,MX,1567648676,75,27.96,-110.81,91.0,11.41
135,port hedland,0,AU,1567648676,65,-20.31,118.58,77.0,10.29
136,ahipara,100,NZ,1567648676,100,-35.17,173.16,61.0,46.46
137,kahului,40,US,1567648604,52,20.89,-156.47,89.6,25.28
138,saskylakh,90,RU,1567648677,63,71.97,114.09,36.49,4.85
139,socorro,20,US,1567648677,22,31.65,-106.3,89.6,12.75
140,rio gallegos,0,AR,1567648586,86,-51.62,-69.22,30.2,4.7
141,avarua,98,CK,1567648677,60,-21.21,-159.78,75.2,14.99
142,kodiak,1,US,1567648677,77,39.95,-94.76,70.0,5.82
143,teknaf,0,BD,1567648677,82,20.86,92.31,82.95,18.88
144,west bay,5,CA,1567648677,72,49.34,-123.21,72.0,6.93
145,souillac,75,FR,1567648677,82,45.6,-0.6,59.0,9.17
146,caravelas,2,BR,1567648678,90,-17.73,-39.27,70.03,5.97
147,yenagoa,89,NG,1567648678,94,4.92,6.26,74.38,2.62
148,grenville,75,CA,1567648678,72,45.62,-74.6,61.0,3.31
149,uray,5,RU,1567648678,92,60.13,64.8,49.02,3.58
150,saravena,41,CO,1567648678,96,6.96,-71.88,69.58,3.33
151,cobija,71,BR,1567648679,92,-11.02,-68.77,72.87,3.04
152,san quintin,100,PH,1567648679,80,17.54,120.52,82.23,18.7
153,imbituba,75,BR,1567648679,67,-28.24,-48.67,57.2,12.75
154,the valley,20,AI,1567648550,74,18.22,-63.06,84.2,10.29
155,harlingen,75,NL,1567648454,87,53.18,5.41,60.8,12.75
156,olinda,0,AU,1567648679,63,-37.84,145.39,68.0,8.05
157,monrovia,75,LR,1567648679,94,6.33,-10.8,77.0,7.96
158,okhotsk,0,RU,1567648679,44,59.36,143.24,66.32,12.26
159,hithadhoo,100,MV,1567648680,78,-0.6,73.08,83.28,14.2
160,trelew,16,AR,1567648472,74,-43.25,-65.31,34.5,6.13
161,upernavik,100,GL,1567648680,88,72.79,-56.15,42.34,15.66
162,lusaka,0,ZM,1567648680,38,-15.42,28.28,63.98,7.16
163,nikolskoye,0,RU,1567648680,87,59.7,30.79,55.0,6.71
164,riisipere,20,EE,1567648680,93,59.12,24.31,52.0,5.82
165,lyuban,0,BY,1567648680,89,52.8,28.0,50.64,2.44
166,great bend,1,US,1567648681,58,38.36,-98.78,82.4,10.29
167,hobart,40,AU,1567648544,46,-42.88,147.33,57.99,6.93
168,nemuro,75,JP,1567648681,68,43.32,145.57,69.8,13.87
169,beyneu,0,KZ,1567648681,45,45.32,55.19,59.82,7.87
170,valdivia,0,CL,1567648681,80,-39.81,-73.25,41.0,3.36
171,tabas,0,IR,1567648681,22,33.6,56.92,77.0,4.7
172,talas,0,KG,1567648681,97,42.52,72.24,66.99,1.01
173,grand gaube,75,MU,1567648682,88,-20.01,57.66,72.0,3.36
174,grenfell,0,AU,1567648682,45,-33.9,148.16,71.4,2.13
175,sirjan,0,IR,1567648682,31,29.44,55.67,73.54,5.19
176,mpika,68,ZM,1567648682,60,-11.84,31.4,57.81,6.24
177,antalaha,50,MG,1567648682,98,-14.9,50.28,59.21,4.79
178,aloleng,100,PH,1567648682,79,16.13,119.78,83.58,20.24
179,esperance,90,AU,1567648683,66,-33.86,121.89,50.0,16.11
180,mount gambier,0,AU,1567648628,72,-37.83,140.78,60.8,18.34
181,saldanha,0,PT,1567648683,54,41.42,-6.55,61.78,7.14
182,axim,100,GH,1567648683,91,4.87,-2.24,75.5,10.4
183,lazaro cardenas,90,MX,1567648683,26,28.39,-105.62,84.2,6.93
184,khatanga,100,RU,1567648683,46,71.98,102.47,41.93,12.68
185,antofagasta,90,CL,1567648684,76,-23.65,-70.4,57.2,5.82
186,laguna,40,BZ,1567648684,88,16.17,-88.94,82.4,4.21
187,nizhniy kuranakh,100,RU,1567648684,74,58.84,125.49,53.65,4.85
188,kavieng,81,PG,1567648684,74,-2.57,150.8,82.84,9.44
189,araouane,28,ML,1567648684,26,18.9,-3.53,93.18,12.59
190,ewa beach,20,US,1567648404,52,21.32,-158.01,91.4,12.75
191,kobryn,16,BY,1567648481,78,52.21,24.36,53.56,5.32
192,provideniya,75,RU,1567648684,81,64.42,-173.23,51.8,6.71
193,amapa,20,HN,1567648685,74,15.09,-87.97,84.2,8.05
194,nabire,91,ID,1567648685,54,-3.36,135.5,84.99,4.94
195,pangnirtung,39,CA,1567648685,72,66.15,-65.72,35.18,3.74
196,port lincoln,46,AU,1567648685,65,-34.72,135.86,55.43,26.87
197,pisco,0,PE,1567648685,30,-13.71,-76.2,71.6,13.87
198,alice springs,0,AU,1567648685,9,-23.7,133.88,87.8,18.34
199,puerto asis,31,CO,1567648429,97,0.51,-76.5,71.34,2.3
200,nikki,78,BJ,1567648686,89,9.94,3.21,70.69,5.61
201,isangel,75,VU,1567648686,65,-19.55,169.27,77.0,11.41
202,leshukonskoye,100,RU,1567648686,97,64.9,45.76,51.92,4.81
203,palmer,75,AU,1567648686,72,-34.85,139.16,63.0,9.17
204,warrington,40,GB,1567648686,82,53.39,-2.59,55.99,11.41
205,pochinki,0,RU,1567648687,83,54.7,44.85,48.05,3.69
206,zhigansk,58,RU,1567648687,52,66.77,123.37,50.39,8.34
207,lavrentiya,100,RU,1567648687,93,65.58,-170.99,45.49,7.27
208,guigue,100,VE,1567648687,96,10.09,-67.78,70.44,0.45
209,smithers,40,CA,1567648500,49,54.78,-127.17,68.0,11.41
210,pochutla,40,MX,1567648687,70,15.74,-96.47,86.0,3.36
211,kalangala,20,UG,1567648687,94,-0.32,32.29,68.0,9.17
212,nikolayevka,86,RU,1567648687,59,46.73,38.57,73.43,11.18
213,liwale,65,TZ,1567648688,94,-9.8,37.92,61.71,6.33
214,kasongo,61,CD,1567648688,73,-4.43,26.67,72.6,3.09
215,lianzhou,3,CN,1567648688,60,24.79,112.38,82.3,6.8
216,aripuana,29,BR,1567648688,53,-9.17,-60.63,81.64,1.45
217,aklavik,90,CA,1567648688,93,68.22,-135.01,51.8,3.36
218,itarema,33,BR,1567648689,83,-2.92,-39.92,75.64,9.35
219,ulladulla,90,AU,1567648689,55,-35.36,150.48,66.2,6.93
220,kaitangata,94,NZ,1567648689,62,-46.28,169.85,53.01,17.0
221,nushki,0,PK,1567648689,9,29.55,66.02,79.86,3.13
222,kaka,0,TM,1567648689,32,37.35,59.62,71.92,5.46
223,port-cartier,90,CA,1567648689,100,50.03,-66.88,55.0,5.82
224,codrington,0,AU,1567648690,37,-28.95,153.24,87.01,3.36
225,sokoni,28,CD,1567648690,61,-12.89,28.78,62.01,1.01
226,gat,40,SN,1567648690,94,14.69,-16.54,77.0,8.05
227,gardner,1,US,1567648557,88,38.81,-94.93,75.2,4.7
228,margate,40,AU,1567648690,46,-43.03,147.26,57.99,6.93
229,nouadhibou,79,MR,1567648690,61,20.93,-17.03,78.8,13.87
230,elur,75,IN,1567648690,100,10.07,76.3,77.0,2.24
231,constitucion,90,MX,1567648691,72,23.99,-104.67,63.0,10.29
232,ahvaz,0,IR,1567648691,31,31.32,48.68,78.8,2.24
233,leningradskiy,94,RU,1567648691,91,69.38,178.42,39.21,8.63
234,waingapu,29,ID,1567648691,53,-9.65,120.26,82.16,11.43
235,georgetown,40,GY,1567648443,78,6.8,-58.16,82.4,9.17
236,jalingo,99,NG,1567648691,90,10.3,10.93,74.22,4.99
237,nouakchott,0,MR,1567648691,70,18.08,-15.98,87.8,13.87
238,iwanai,95,JP,1567648692,46,42.97,140.51,76.72,2.59
239,namatanai,100,PG,1567648692,89,-3.66,152.44,76.85,16.6
240,port elizabeth,90,US,1567648692,88,39.31,-74.98,80.6,6.93
241,itoman,75,JP,1567648692,83,26.12,127.67,82.4,18.34
242,adrar,0,DZ,1567648692,25,27.87,-0.29,84.2,9.17
243,zaranj,0,AF,1567648692,23,30.95,61.86,81.15,26.91
244,college,75,US,1567648693,51,64.86,-147.8,62.6,8.05
245,portland,1,US,1567648693,60,43.66,-70.25,70.0,10.29
246,bestobe,100,KZ,1567648693,70,52.5,73.1,50.93,11.54
247,san patricio,99,PY,1567648693,62,-26.98,-56.83,50.17,9.37
248,salalah,90,OM,1567648693,94,17.01,54.1,78.8,2.24
249,dunedin,100,NZ,1567648694,81,-45.87,170.5,51.01,17.0
250,mana,100,NG,1567648694,81,13.03,5.27,77.05,12.12
251,issoire,75,FR,1567648694,82,45.54,3.25,59.0,8.05
252,abomey,100,BJ,1567648694,94,7.18,1.99,73.27,7.14
253,talant,26,FR,1567648694,72,47.34,5.0,60.8,12.75
254,xai-xai,0,MZ,1567648694,62,-25.04,33.64,61.28,3.53
255,saint-pierre,0,FR,1567648694,87,48.95,4.24,48.0,5.82
256,tecpan,40,GT,1567648695,83,14.76,-90.99,69.8,4.7
257,henties bay,0,NA,1567648695,89,-22.12,14.28,55.99,3.74
258,nantucket,90,US,1567648695,94,41.28,-70.1,75.2,5.82
259,staunton,1,US,1567648695,78,38.15,-79.07,80.01,2.51
260,lowestoft,53,GB,1567648695,87,52.48,1.75,54.0,17.22
261,bulawayo,0,ZW,1567648696,33,-20.16,28.59,53.22,5.84
262,sitka,0,US,1567648696,52,37.17,-99.65,80.01,11.01
263,waddan,0,LY,1567648696,68,29.16,16.14,70.42,4.38
264,norman wells,75,CA,1567648696,82,65.28,-126.83,55.4,10.29
265,conceicao da barra,1,BR,1567648696,97,-18.59,-39.73,67.4,2.73
266,osypenko,75,UA,1567648696,82,48.04,34.39,61.0,6.71
267,noumea,40,NC,1567648540,47,-22.28,166.46,75.2,11.41
268,la ronge,75,CA,1567648697,82,55.1,-105.3,57.2,10.29
269,saint-michel-des-saints,0,CA,1567648697,8,46.68,-73.92,53.01,1.01
270,tokmak,100,UA,1567648697,91,47.26,35.7,59.91,5.28
271,ikwiriri,74,TZ,1567648697,86,-7.96,38.99,72.12,1.88
272,marsh harbour,0,BS,1567648697,81,26.54,-77.06,84.0,23.26
273,lompoc,75,US,1567648698,87,34.64,-120.46,82.0,9.17
274,evensk,88,RU,1567648698,59,61.92,159.24,52.75,13.58
275,banda aceh,100,ID,1567648546,79,5.56,95.32,82.39,14.65
276,fairfield,1,US,1567648698,22,38.25,-122.04,96.8,6.93
277,moussoro,17,TD,1567648698,69,13.64,16.49,81.55,11.25
278,barcelos,84,BR,1567648468,69,-0.97,-62.93,79.14,1.16
279,buraydah,40,SA,1567648698,25,26.33,43.97,87.8,12.75
280,doha,0,QA,1567648550,56,25.29,51.53,93.2,5.82
281,kiunga,98,PG,1567648699,67,-6.12,141.3,82.21,2.46
282,yar-sale,26,RU,1567648699,79,66.83,70.83,52.12,11.16
283,morgan city,1,US,1567648699,88,29.7,-91.21,84.99,2.91
284,olga,1,US,1567648699,48,34.11,-118.17,89.6,8.05
285,huarmey,0,PE,1567648699,92,-10.07,-78.15,60.2,11.48
286,ridgecrest,75,US,1567648699,13,35.62,-117.67,102.2,11.41
287,monforte de lemos,0,ES,1567648700,88,42.52,-7.51,57.0,1.99
288,sao jose da coroa grande,58,BR,1567648700,95,-8.9,-35.15,69.65,3.33
289,bay roberts,90,CA,1567648700,100,47.58,-53.28,64.0,11.41
290,naron,90,ES,1567648700,77,43.52,-8.15,64.0,5.82
291,byron bay,0,AU,1567648700,50,-28.65,153.62,87.01,11.41
292,uige,8,AO,1567648701,90,-7.61,15.06,65.78,2.1
293,sola,31,TZ,1567648701,55,-3.17,33.8,66.23,1.77
294,novyy urgal,100,RU,1567648701,89,51.07,132.56,68.35,11.59
295,aykhal,90,RU,1567648701,100,65.95,111.51,37.4,6.71
296,dikson,100,RU,1567648701,99,73.51,80.55,43.3,19.86
297,hohhot,0,CN,1567648677,43,40.81,111.65,69.8,2.24
298,mopti,94,ML,1567648701,65,14.49,-4.19,81.75,4.65
299,longyearbyen,90,NO,1567648702,86,78.22,15.63,30.2,2.93
300,kavaratti,100,IN,1567648702,79,10.57,72.64,82.66,18.5
301,srednekolymsk,94,RU,1567648702,38,67.46,153.71,59.79,10.51
302,road town,1,VG,1567648702,78,18.42,-64.62,84.2,11.41
303,gatehouse of fleet,29,GB,1567648702,90,54.88,-4.18,46.0,6.22
304,szydlowiec,0,PL,1567648702,84,51.23,20.86,57.99,3.0
305,poum,0,MK,1567648702,62,41.28,20.71,55.02,3.38
306,sehithwa,0,BW,1567648703,31,-20.47,22.7,62.05,6.98
307,severo-kurilsk,1,RU,1567648703,93,50.68,156.12,49.9,15.52
308,thompson,20,CA,1567648703,65,55.74,-97.86,46.4,3.94
309,russell,1,US,1567648703,61,38.9,-98.86,82.4,8.05
310,oranjemund,8,ZA,1567648703,89,-28.55,16.43,55.86,22.55
311,bhadasar,57,IN,1567648703,49,28.3,74.31,94.47,4.59
312,cabo san lucas,5,MX,1567648518,58,22.89,-109.91,87.8,17.22
313,kapit,25,MY,1567648584,46,2.02,112.94,93.88,0.94
314,klaksvik,0,FO,1567648704,87,62.23,-6.59,42.8,1.12
