,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,santiago del estero,92,AR,1567648716,44,-27.8,-64.26,47.67,1.61
386,puerto escondido,40,MX,1567648716,70,15.86,-97.07,86.0,3.36
387,quelimane,0,MZ,1567648716,95,-17.88,36.89,60.83,1.66
388,faanui,0,PF,1567648716,81,-16.48,-151.75,78.07,22.93
389,pascagoula,1,US,1567648679,88,30.37,-88.56,84.99,3.51
390,san cristobal,100,HN,1567648717,70,14.68,-86.92,69.09,6.55
391,filadelfia,97,PY,1567648717,62,-22.35,-60.04,62.0,7.34
392,kangaatsiaq,86,GL,1567648717,80,68.31,-53.46,43.28,9.55
393,mahajanga,20,MG,1567648717,64,-15.72,46.32,69.8,6.93
394,rybnaya sloboda,0,RU,1567648717,93,55.46,50.14,41.0,4.47
395,sapa,75,PH,1567648718,74,14.32,120.76,88.0,12.75
396,ellensburg,1,US,1567648642,24,47.0,-120.55,84.99,4.76
397,kuna,1,US,1567648625,24,43.49,-116.42,95.0,4.7
398,solnechnyy,84,RU,1567648718,87,50.72,136.64,71.5,3.24
399,sinnar,100,IN,1567648718,87,19.85,74.0,75.37,11.03
400,vagamo,100,NO,1567648718,96,61.88,9.1,35.59,11.92
401,hofn,0,IS,1567648718,75,64.25,-15.21,29.6,2.62
402,panguipulli,0,CL,1567648719,80,-39.64,-72.33,48.99,3.36
403,pine bluff,1,US,1567648719,78,34.23,-92.0,84.2,2.77
404,marseille,0,FR,1567648671,72,43.3,5.37,72.0,6.93
405,cururupu,29,BR,1567648719,97,-1.82,-44.87,71.36,2.17
406,teya,40,MX,1567648719,74,21.05,-89.07,86.0,6.93
407,nakamura,75,JP,1567648719,78,35.17,136.87,84.99,3.36
408,coracao de maria,20,BR,1567648719,88,-15.26,-39.35,75.2,3.36
409,bushehr,0,IR,1567648720,49,28.97,50.84,89.6,2.24
410,mandeville,1,US,1567648720,83,30.36,-90.07,91.4,5.17
411,necochea,6,AR,1567648720,62,-38.55,-58.74,43.0,5.99
412,grindavik,90,IS,1567648720,100,63.84,-22.43,50.0,8.05
413,estacion coahuila,1,MX,1567648720,24,32.19,-115.0,107.6,12.75
414,carquefou,0,FR,1567648720,81,47.3,-1.49,57.0,6.93
415,coahuayana,94,MX,1567648721,92,18.62,-100.35,72.28,2.89
416,goderich,17,CA,1567648721,76,43.74,-81.71,63.0,1.99
417,kargil,0,PK,1567648721,35,34.56,76.13,50.48,5.21
418,kiama,90,AU,1567648721,55,-34.67,150.86,66.2,6.93
419,balaguer,0,ES,1567648721,72,41.79,0.81,64.99,8.05
420,beringovskiy,100,RU,1567648722,90,63.05,179.32,45.42,2.59
421,kenai,1,US,1567648604,62,60.55,-151.26,63.0,13.87
422,santa cruz,15,BR,1567648613,86,-6.22,-36.02,69.85,16.15
423,peace river,90,CA,1567648722,87,56.23,-117.29,55.4,14.99
424,biak,98,ID,1567648722,54,-0.91,122.88,77.17,3.49
425,shubarshi,0,KZ,1567648722,69,48.59,57.19,53.29,7.27
426,huilong,88,CN,1567648722,74,31.15,106.5,76.49,3.71
427,bintulu,75,MY,1567648722,83,3.17,113.03,82.4,1.21
428,palu,0,ID,1567648556,64,-0.9,119.87,84.45,5.35
429,jermuk,0,AM,1567648723,83,39.84,45.67,43.32,2.1
430,port-gentil,98,GA,1567648723,87,-0.72,8.78,75.64,16.04
431,saltillo,90,MX,1567648448,93,25.42,-100.99,66.99,1.88
432,ozu,75,JP,1567648723,74,33.51,132.54,84.2,8.05
433,corinth,0,GR,1567648723,42,37.94,22.93,80.6,10.29
434,papara,40,BR,1567648723,78,-3.98,-38.73,79.0,12.75
435,dali,57,CN,1567648724,50,34.79,109.94,77.39,7.72
436,kurilsk,100,RU,1567648724,82,45.23,147.88,61.26,16.33
437,lata,34,IN,1567648724,84,30.78,78.62,48.45,4.18
438,kargopol,14,RU,1567648724,98,61.51,38.95,46.56,3.0
439,muros,75,ES,1567648724,87,42.77,-9.06,66.99,12.75
440,umm kaddadah,100,SD,1567648725,74,13.6,26.69,75.09,21.56
441,ust-ilimsk,87,RU,1567648725,77,57.96,102.73,54.28,10.02
442,vanderhoof,69,CA,1567648725,55,54.02,-124.02,58.83,3.02
443,coquimbo,90,CL,1567648725,87,-29.95,-71.34,53.6,6.93
444,santa isabel do rio negro,42,BR,1567648725,79,-0.41,-65.02,76.9,1.79
445,jiaohe,65,CN,1567648725,63,43.72,127.34,75.79,6.04
446,saint anthony,1,US,1567648726,18,43.97,-111.68,89.6,11.41
447,vila,0,IT,1567648726,100,45.18,8.4,70.0,5.82
448,portree,63,GB,1567648726,91,57.41,-6.19,46.99,13.33
449,san jeronimo,1,PE,1567648726,94,-13.65,-73.37,45.8,1.79
450,comodoro rivadavia,0,AR,1567648726,69,-45.87,-67.48,33.8,4.7
451,bismarck,1,US,1567648485,73,46.81,-100.78,73.4,14.99
452,saryozek,0,KZ,1567648727,34,44.36,77.98,68.68,6.38
453,tamiahua,8,MX,1567648727,81,21.28,-97.45,84.21,14.45
454,mier,0,IT,1567648727,77,46.13,12.19,68.0,3.36
455,belousovka,75,KZ,1567648727,87,50.13,82.52,46.4,2.24
456,rapid valley,1,US,1567648727,64,44.06,-103.15,84.2,11.41
457,damara,20,CF,1567648727,100,4.96,18.7,71.6,1.7
458,jamkhed,100,IN,1567648728,82,18.74,75.31,73.84,17.02
459,hamilton,20,CA,1567648540,82,43.26,-79.87,64.99,4.7
460,maldonado,75,UY,1567648705,70,-34.91,-54.96,44.6,13.87
461,nipawin,75,CA,1567648728,77,53.36,-104.02,60.8,11.41
462,matara,77,BI,1567648728,69,-3.48,29.48,51.92,1.54
463,danielskuil,31,ZA,1567648728,36,-28.19,23.54,48.45,3.42
464,daesti,75,RO,1567648728,80,44.97,24.13,57.07,4.41
465,touros,75,BR,1567648729,94,-5.2,-35.46,73.4,4.7
466,madison heights,1,US,1567648729,72,42.49,-83.11,66.0,4.7
467,kulhudhuffushi,92,MV,1567648729,79,6.62,73.07,81.94,8.21
468,kargasok,0,RU,1567648729,70,59.06,80.87,53.49,3.71
469,hit,0,IQ,1567648729,27,33.64,42.83,77.46,3.2
470,muhos,77,FI,1567648729,100,64.81,26.0,46.99,5.82
471,fairbanks,75,US,1567648560,48,64.84,-147.72,62.6,11.41
472,komsomolskiy,50,RU,1567648730,77,67.55,63.78,50.89,11.45
473,nanlong,100,CN,1567648730,85,31.35,106.05,70.46,4.9
474,inhambane,0,MZ,1567648730,90,-23.87,35.38,59.21,4.72
475,razole,100,IN,1567648730,95,16.48,81.84,74.55,11.54
476,mayo,75,CA,1567648730,39,63.59,-135.9,62.6,9.17
477,manono,90,CD,1567648731,45,-7.3,27.4,72.37,2.46
478,jian,20,IN,1567648731,65,25.65,87.89,89.04,10.31
479,buala,41,SB,1567648731,82,-8.15,159.59,80.74,12.71
480,lakatoro,100,VU,1567648731,57,-16.11,167.42,74.85,12.59
481,gigmoto,68,PH,1567648731,73,13.78,124.39,84.61,6.6
482,anadyr,75,RU,1567648731,81,64.73,177.51,46.4,4.47
483,wuwei,14,CN,1567648731,39,37.93,102.64,78.01,1.01
484,matamoros,1,US,1567648732,88,25.87,-97.51,84.2,11.41
485,hayden,1,US,1567648732,25,47.77,-116.79,84.2,3.36
486,qarqin,0,AF,1567648732,22,37.41,66.03,78.22,8.16
487,san juan,6,AR,1567648732,36,-31.54,-68.53,33.85,2.1
488,qasigiannguit,100,GL,1567648732,86,68.82,-51.19,39.2,2.28
489,yeppoon,0,AU,1567648733,9,-23.13,150.74,89.6,5.82
490,kibala,20,TD,1567648733,88,9.11,18.35,73.4,0.31
491,nefteyugansk,0,RU,1567648733,100,61.09,72.61,50.0,2.24
492,tateyama,75,JP,1567648733,66,36.66,137.31,90.0,3.36
493,kjollefjord,19,NO,1567648733,75,70.95,27.35,49.15,10.78
494,peleduy,97,RU,1567648733,88,59.63,112.75,52.23,6.08
495,ngaoundere,100,CM,1567648734,97,7.32,13.58,64.88,3.76
496,yulara,0,AU,1567648734,19,-25.24,130.99,78.8,6.93
497,pizarro,100,CO,1567648734,80,4.95,-77.37,78.78,6.55
498,vanimo,100,PG,1567648734,77,-2.67,141.3,78.22,3.96
499,saint-joseph,0,FR,1567648734,82,43.56,6.97,73.4,3.36
500,honningsvag,96,NO,1567648734,79,70.98,25.97,48.63,12.66
501,portlethen,75,GB,1567648735,76,57.05,-2.13,48.2,19.46
502,holme,0,DK,1567648735,93,56.11,10.17,53.6,6.93
503,makaha,20,US,1567648735,55,21.47,-158.22,89.6,10.29
504,annau,75,TM,1567648735,48,37.89,58.52,66.2,9.17
505,lethem,80,GY,1567648735,70,3.38,-59.8,80.59,4.32
506,mariakani,56,KE,1567648736,96,-3.87,39.47,67.83,6.15
507,riyadh,0,SA,1567648736,29,24.63,46.72,87.8,2.04
508,zlobin,0,HR,1567648736,46,45.29,14.65,69.8,10.29
509,maroua,100,CM,1567648736,85,10.6,14.33,72.31,2.77
510,bara,99,NG,1567648736,90,10.41,10.6,74.22,4.99
511,luau,83,CD,1567648736,37,-10.7,22.23,66.55,2.46
512,teruel,0,ES,1567648736,81,40.34,-1.11,66.2,12.75
513,haines junction,0,CA,1567648737,53,60.75,-137.51,51.42,6.49
514,westport,1,US,1567648737,100,41.14,-73.36,77.0,5.66
515,tortoli,5,IT,1567648737,56,39.93,9.66,69.8,13.87
516,rawson,16,AR,1567648737,74,-43.3,-65.11,34.5,6.13
517,sangar,72,RU,1567648738,43,63.92,127.47,55.68,4.09
518,kuchera,98,IN,1567648738,55,26.99,73.97,91.14,7.16
519,elliot lake,1,CA,1567648738,71,46.37,-82.65,57.2,11.41
520,northam,0,AU,1567648738,61,-31.65,116.67,50.0,11.41
521,show low,1,US,1567648738,36,34.25,-110.03,87.8,10.29
522,boa vista,0,BR,1567648738,74,2.82,-60.67,80.6,3.36
523,minsk,0,BY,1567648738,100,53.9,27.56,46.4,2.24
524,diu,100,IN,1567648739,97,20.71,70.98,77.32,7.49
525,khiri mat,20,TH,1567648739,78,16.83,99.8,89.01,3.36
526,neuquen,0,AR,1567648739,36,-38.95,-68.06,44.6,13.87
527,markova,90,RU,1567648739,100,52.21,104.21,55.4,8.95
528,aviles,90,ES,1567648739,93,43.55,-5.92,62.01,3.36
529,surenavan,40,AM,1567648739,48,39.75,44.8,66.2,4.7
530,nazret,85,ET,1567648740,83,8.55,39.27,59.61,5.48
531,camacha,40,PT,1567648740,78,33.08,-16.33,73.4,10.29
532,jovellar,87,PH,1567648740,74,13.07,123.6,84.01,9.44
533,tra vinh,100,VN,1567648740,85,9.93,106.35,78.78,7.7
534,la paz,40,MX,1567648740,26,24.15,-110.32,95.0,11.41
535,pervomayskoye,3,RU,1567648740,83,57.07,86.23,51.09,3.4
536,millinocket,40,US,1567648740,93,45.66,-68.71,66.0,3.36
537,cedar city,75,US,1567648628,31,37.68,-113.06,78.8,11.41
538,roma,0,IT,1567648498,68,41.89,12.48,71.01,4.7
539,ozinki,0,RU,1567648741,82,51.2,49.73,50.82,6.35
540,tiwi,77,PH,1567648741,67,13.46,123.68,85.36,9.73
541,minamiashigara,90,JP,1567648741,78,35.32,139.1,89.01,3.36
542,graneros,85,AR,1567648741,71,-27.65,-65.44,45.51,2.98
543,eureka,90,US,1567648741,87,40.8,-124.16,64.99,6.93
544,avera,1,US,1567648742,65,33.19,-82.53,84.2,6.93
545,parit buntar,75,MY,1567648742,74,5.13,100.49,84.2,6.93
546,ahuimanu,40,US,1567648742,52,21.44,-157.84,89.6,14.99
547,moose factory,75,CA,1567648742,93,51.26,-80.61,48.2,3.36
548,sete,98,NP,1567648742,88,27.58,86.44,70.39,1.97
549,shakawe,0,BW,1567648743,34,-18.36,21.84,61.78,4.25
550,karratha,36,AU,1567648743,20,-20.74,116.85,83.37,7.99
551,ngunguru,42,NZ,1567648743,80,-35.62,174.5,63.0,11.99
552,surab,2,PK,1567648743,8,28.49,66.26,78.69,3.98
553,los llanos de aridane,2,ES,1567648743,60,28.66,-17.92,71.6,5.82
554,jacqueville,40,CI,1567648743,100,5.21,-4.42,75.2,5.82
555,santa cruz del sur,100,CU,1567648744,87,20.71,-78.0,78.04,4.18
556,onega,4,RU,1567648744,89,63.91,38.09,50.89,6.85
557,omboue,100,GA,1567648744,87,-1.57,9.26,74.6,13.27
558,rocha,1,UY,1567648744,88,-34.48,-54.34,34.6,3.53
559,manzhouli,91,CN,1567648744,73,49.6,117.43,66.46,8.23
560,dong xoai,65,VN,1567648744,79,11.53,106.92,83.28,16.4
561,fort nelson,40,CA,1567648745,39,58.81,-122.69,66.2,8.05
562,flinders,90,AU,1567648745,55,-34.58,150.85,73.0,6.93
563,north bend,1,US,1567648745,77,43.41,-124.22,66.99,26.4
564,halifax,90,CA,1567648679,100,44.65,-63.58,68.0,14.99
565,ilulissat,100,GL,1567648745,86,69.22,-51.1,39.2,3.65
566,mackay,75,CA,1567648745,77,53.65,-115.58,64.4,9.17
567,vostok,78,RU,1567648746,51,46.45,135.83,76.65,8.32
568,kushikino,75,JP,1567648746,74,31.72,130.27,84.2,10.29
569,killin,1,US,1567648746,62,33.61,-91.74,84.2,2.73
570,abbeville,75,FR,1567648746,72,50.11,1.83,59.0,17.22
571,broken hill,0,AU,1567648746,8,-31.97,141.45,82.4,17.22
